Drug,GENE
Anastrozole,DGKI
Exemestane,DGKI
Gemcitabine hydrochloride,CTDP1
Celecoxib,CACNA1B
Cyclophosphamide,MIR604
Daunorubicin hydrochloride,MIR604
Mercaptopurine,MIR604
Methotrexate,MIR604
Vincristine sulfate,MIR604
Fluorouracil,WDR7
Capecitabine,WDR7
Abiraterone,YBX1
Methotrexate,DDRGK1
Cisplatin,CDH13
Fluorouracil,TNFSF13B
Cyclophosphamide,TNFSF13B
Docetaxel,TNFSF13B
4'-Epiadriamycin,TNFSF13B
Gemcitabine hydrochloride,CDH4
Anastrozole,DOCK4
Exemestane,DOCK4
Celecoxib,ATP2A3
Tamoxifen citrate,CCNA2
Fluorouracil,COLEC10
Methotrexate,IL12B
Cyclophosphamide,FCGR2A
Doxorubicin hydrochloride,FCGR2A
Paclitaxel,FCGR2A
Carboplatin,PRRC2A
Gemcitabine hydrochloride,PRRC2A
Gemcitabine hydrochloride,DCTD
Fluorouracil,OGG1
Cisplatin,OGG1
Axitinib,HIF1A
Sorafenib tosylate,HIF1A
Daunorubicin hydrochloride,DCK
Mitoxantrone,DCK
Paclitaxel,DCK
Allopurinol,HLA-DQB1
Etoposide,PLA2G6
Cyclophosphamide,AGO1
Daunorubicin hydrochloride,AGO1
Mercaptopurine,AGO1
Methotrexate,AGO1
Vincristine sulfate,AGO1
Methotrexate,FOXP3
Gefitinib,TNFAIP3
Methotrexate,TNFAIP3
Methotrexate,SLC22A9
Fluorouracil,PERP
Cyclophosphamide,PERP
4'-Epiadriamycin,PERP
Daunorubicin hydrochloride,SLC22A2
Doxorubicin hydrochloride,SLC22A2
Capecitabine,MAN1A1
Cyclophosphamide,FCGR3A
Vincristine sulfate,FCGR3A
Everolimus,CYP2C8
Carboplatin,CYP2C8
Docetaxel,CYP2C8
Doxorubicin hydrochloride,CYP2C8
4'-Epiadriamycin,CYP2C8
Gemcitabine hydrochloride,CYP2C8
Allopurinol,UGT1A4
Methotrexate,UGT1A4
Tamoxifen citrate,UGT1A4
Fluorouracil,OSGEP
Cisplatin,OSGEP
Mercaptopurine,PACSIN2
Methotrexate,PACSIN2
Celecoxib,ATP2A1
Gemcitabine hydrochloride,ALG10
Mercaptopurine,FOLH1
Carboplatin,EIF3A
Cisplatin,EIF3A
Allopurinol,TSHZ2
Fluorouracil,SPARC
Capecitabine,SPARC
Gemcitabine hydrochloride,SPARC
Celecoxib,CACNA2D2
Fluorouracil,GALNT14
Cisplatin,GALNT14
Doxorubicin hydrochloride,GALNT14
Mitoxantrone,GALNT14
Sorafenib tosylate,GALNT14
Capecitabine,TENM4
Cisplatin,OTOS
Fluorouracil,SOD3
Oxaliplatin,SOD3
4'-Epiadriamycin,SOD3
Capecitabine,CES1P1
Fluorouracil,STAT3
Cyclophosphamide,DOP1B
Doxorubicin hydrochloride,DOP1B
Cisplatin,DPYD
Cyclophosphamide,DPYD
Docetaxel,DPYD
Doxorubicin hydrochloride,DPYD
4'-Epiadriamycin,DPYD
Methotrexate,DPYD
Docetaxel,ABCC6
Thalidomide,ABCC6
Capecitabine,ANK3
Methotrexate,KIR2DS4
Busulfan,CTH
Cyclophosphamide,CTH
Carmustine,G6PD
Daunorubicin hydrochloride,G6PD
Doxorubicin hydrochloride,G6PD
Pemetrexed Disodium,FOLR3
Cyclophosphamide,BMP7
Daunorubicin hydrochloride,BMP7
Doxorubicin hydrochloride,BMP7
Methotrexate,BMP7
Thioguanine,BMP7
Vincristine sulfate,BMP7
Cyclophosphamide,DOK5
Daunorubicin hydrochloride,DOK5
Doxorubicin hydrochloride,DOK5
Methotrexate,DOK5
Thioguanine,DOK5
Vincristine sulfate,DOK5
Methotrexate,RAVER2
Cyclophosphamide,IKZF3
Cisplatin,SLC16A5
Vincristine sulfate,BAHD1
Daunorubicin hydrochloride,AKR1C4
Exemestane,AKR1C4
Gemcitabine hydrochloride,BTRC
Lapatinib ditosylate,HLA-C
Allopurinol,HLA-C
Carboplatin,HLA-C
Gemcitabine hydrochloride,HLA-C
Methotrexate,HLA-C
Fluorouracil,CYP1B1
Capecitabine,CYP1B1
Cisplatin,CYP1B1
Cyclophosphamide,CYP1B1
4'-Epiadriamycin,CYP1B1
Gemcitabine hydrochloride,CYP1B1
Gemcitabine hydrochloride,UBASH3B
Carboplatin,TIGD1
Paclitaxel,TIGD1
Capecitabine,LMNTD1
Carboplatin,SCN10A
Imatinib mesylate,CYP2F1
Cisplatin,POLR1G
Gemcitabine hydrochloride,POLR1G
Melphalan,POLR1G
Paclitaxel,POLR1G
Imatinib mesylate,UGT2A1
Imatinib mesylate,FLT1
Fluorouracil,FLT1
Oxaliplatin,FLT1
Cisplatin,FLT1
Cyclophosphamide,FLT1
Docetaxel,FLT1
4'-Epiadriamycin,FLT1
Methotrexate,FASTKD3
Sorafenib tosylate,MAPK10
Fluorouracil,MSH6
Oxaliplatin,MSH6
Allopurinol,POU5F1
Carboplatin,GSR
Vorinostat,CHD4
Gemcitabine hydrochloride,DCP1B
Allopurinol,SLC17A1
Fluorouracil,TMEM167A
Gefitinib,TAB2
Fluorouracil,IMPDH2
Methotrexate,IMPDH2
Allopurinol,MYT1L
Cyclophosphamide,LINC00251
Daunorubicin hydrochloride,LINC00251
Doxorubicin hydrochloride,LINC00251
Methotrexate,LINC00251
Thioguanine,LINC00251
Vincristine sulfate,LINC00251
Daunorubicin hydrochloride,CYP4F2
Doxorubicin hydrochloride,CYP4F2
Carboplatin,DSCAM
Paclitaxel,DSCAM
Gemcitabine hydrochloride,SLC29A3
Celecoxib,CASP3
Cisplatin,CASP3
Doxorubicin hydrochloride,CASP3
Methotrexate,KLRC1
Methotrexate,GSK3B
Celecoxib,ATP2A2
Cisplatin,TMEM43
Carboplatin,EIF4E2
Paclitaxel,EIF4E2
Cisplatin,PPP1R13L
Gemcitabine hydrochloride,PPP1R13L
Paclitaxel,PPP1R13L
Everolimus,RPTOR
Daunorubicin hydrochloride,SULT2B1
Doxorubicin hydrochloride,SULT2B1
Fludarabine,SULT2B1
Carboplatin,NRG3
Paclitaxel,NRG3
Oxaliplatin,FARS2
Cyclophosphamide,MIR492
Daunorubicin hydrochloride,MIR492
Mercaptopurine,MIR492
Methotrexate,MIR492
Vincristine sulfate,MIR492
Gefitinib,SIRT2
Fluorouracil,UGT1A1
Oxaliplatin,UGT1A1
Allopurinol,UGT1A1
Bleomycin sulfate,UGT1A1
Capecitabine,UGT1A1
Carboplatin,UGT1A1
Cisplatin,UGT1A1
Cyclophosphamide,UGT1A1
4'-Epiadriamycin,UGT1A1
Methotrexate,UGT1A1
Fluorouracil,CHN2
Cyclophosphamide,MIR300
Daunorubicin hydrochloride,MIR300
Mercaptopurine,MIR300
Methotrexate,MIR300
Vincristine sulfate,MIR300
Daunorubicin hydrochloride,SPG7
Docetaxel,SPG7
Doxorubicin hydrochloride,SPG7
Thalidomide,SPG7
Sunitinib,IL4R
Methotrexate,IMPDH1
Oxaliplatin,TAC1
Fluorouracil,CYP4X1
Cyclophosphamide,CYP4X1
Celecoxib,CACNA1S
Oxaliplatin,GNA13
Allopurinol,GREM2
Daunorubicin hydrochloride,COL1A2
Doxorubicin hydrochloride,COL1A2
Fluorouracil,MSH2
Cisplatin,MSH2
Doxorubicin hydrochloride,MSH2
Cisplatin,CMPK1
Paclitaxel,CMPK1
Cyclophosphamide,MIR423
Daunorubicin hydrochloride,MIR423
Mercaptopurine,MIR423
Methotrexate,MIR423
Vincristine sulfate,MIR423
Capecitabine,CCDC70
Oxaliplatin,CYP3A5
Everolimus,CYP3A5
Capecitabine,CYP3A5
Carboplatin,CYP3A5
Celecoxib,CYP3A5
Cisplatin,CYP3A5
4'-Epiadriamycin,CYP3A5
Gemcitabine hydrochloride,CYP3A5
Vinorelbine tartrate,CYP3A5
Cyclophosphamide,C5orf22
Daunorubicin hydrochloride,C5orf22
Mercaptopurine,C5orf22
Methotrexate,C5orf22
Vincristine sulfate,C5orf22
Daunorubicin hydrochloride,NRP2
Cisplatin,BLMH
Etoposide,BLMH
Daunorubicin hydrochloride,HNMT
Doxorubicin hydrochloride,HNMT
Oxaliplatin,PIN1
Daunorubicin hydrochloride,ABCA1
Doxorubicin hydrochloride,ABCA1
Carboplatin,C6orf15
Gemcitabine hydrochloride,C6orf15
Cyclophosphamide,MIR577
Daunorubicin hydrochloride,MIR577
Mercaptopurine,MIR577
Methotrexate,MIR577
Vincristine sulfate,MIR577
Lapatinib ditosylate,ESR2
Everolimus,ESR2
Ixabepilone,ESR2
Anastrozole,ESR2
Docetaxel,ESR2
Exemestane,ESR2
Gemcitabine hydrochloride,ESR2
Letrozole,ESR2
Exemestane,CYP4A11
Cisplatin,DCBLD1
Fluorouracil,PIGB
Cyclophosphamide,PIGB
Docetaxel,PIGB
4'-Epiadriamycin,PIGB
Carboplatin,AKT2
Cisplatin,AKT2
Capecitabine,TMEM131L
Cisplatin,FASLG
Doxorubicin hydrochloride,FASLG
Carboplatin,TRIM5
Paclitaxel,TRIM5
Sorafenib tosylate,MAPK8
Methotrexate,SPECC1L
Methotrexate,CDH2
Etoposide,SLIT1
Docetaxel,PRDX4
Fluorouracil,SLCO1B1
Capecitabine,SLCO1B1
Cyclophosphamide,SLCO1B1
Daunorubicin hydrochloride,SLCO1B1
Doxorubicin hydrochloride,SLCO1B1
4'-Epiadriamycin,SLCO1B1
Etoposide,SLCO1B1
Fludarabine,SLCO1B1
Gemcitabine hydrochloride,SLCO1B1
Mercaptopurine,SLCO1B1
Mitoxantrone,SLCO1B1
Paclitaxel,SLCO1B1
Tamoxifen citrate,SLCO1B1
Methotrexate,MIR595
Cisplatin,NAT2
Docetaxel,NAT2
Thalidomide,NAT2
Vincristine sulfate,COCH
Oxaliplatin,ITGA1
Vincristine sulfate,KANSL1
Docetaxel,VAC14
Axitinib,UGT1A9
Allopurinol,UGT1A9
Cisplatin,UGT1A9
Methotrexate,UGT1A9
Capecitabine,SIRPA
Fluorouracil,IGFBP3
Celecoxib,IGFBP3
Tamoxifen citrate,IGFBP3
Fluorouracil,ATM
Cyclophosphamide,ATM
Doxorubicin hydrochloride,ATM
Celecoxib,KCNQ4
Mercaptopurine,FTO
Fluorouracil,ALDH3A1
Carboplatin,ALDH3A1
Cyclophosphamide,ALDH3A1
Doxorubicin hydrochloride,ALDH3A1
Thiotepa,ALDH3A1
Docetaxel,SNORD68
Thalidomide,SNORD68
Docetaxel,RXRA
Capecitabine,MIR2054
Gemcitabine hydrochloride,FKBP5
Carboplatin,DOCK8
Gemcitabine hydrochloride,DOCK8
Celecoxib,CASP9
Daunorubicin hydrochloride,SLC22A17
Doxorubicin hydrochloride,SLC22A17
Oxaliplatin,UGT1A6
Allopurinol,UGT1A6
Daunorubicin hydrochloride,UGT1A6
Doxorubicin hydrochloride,UGT1A6
Methotrexate,UGT1A6
Paclitaxel,UGT1A6
Oxaliplatin,MGAT4A
Capecitabine,MGAT4A
Oxaliplatin,CYP2A6
Docetaxel,CYP2A6
Gemcitabine hydrochloride,POLR2A
Cisplatin,GSTM4
Gefitinib,NUP62
Erlotinib hydrochloride,NUP62
Sorafenib tosylate,MAPK4
Gemcitabine hydrochloride,PDE4B
Paclitaxel,PDE4B
Imatinib mesylate,BCL2L11
Vincristine sulfate,SYNE2
Oxaliplatin,CAMK2N1
Vincristine sulfate,MAPT
Carboplatin,ETS2
Gemcitabine hydrochloride,ETS2
Paclitaxel,ETS2
Cisplatin,EPO
Tamoxifen citrate,WBP2NL
Arsenic trioxide,RARA
Allopurinol,NTNG1
Fluorouracil,DPYS
Capecitabine,DPYS
Daunorubicin hydrochloride,AKR1C3
Docetaxel,AKR1C3
Exemestane,AKR1C3
Methotrexate,PYGL
Oxaliplatin,TYMP
Cisplatin,TYMP
Docetaxel,TYMP
4'-Epiadriamycin,TYMP
Cyclophosphamide,DDX20
Daunorubicin hydrochloride,DDX20
Mercaptopurine,DDX20
Methotrexate,DDX20
Vincristine sulfate,DDX20
Capecitabine,FAT1
Dacarbazine,EPM2AIP1
Fluorouracil,XRCC4
Docetaxel,XRCC4
Imatinib mesylate,SLC22A5
Sunitinib,SLC22A5
Cisplatin,UBE2I
Celecoxib,PTGER4
Methotrexate,ADORA2A
Fluorouracil,ETFRF1
Vorinostat,UGT2B17
Exemestane,UGT2B17
Carboplatin,MSH5
Gemcitabine hydrochloride,MSH5
Gefitinib,NFKBIB
Docetaxel,PPCDC
Gemcitabine hydrochloride,PPCDC
Capecitabine,ZMIZ1
Imatinib mesylate,CHST1
Fluorouracil,NEIL1
Pemetrexed Disodium,ERCC2
Fluorouracil,ERCC2
Oxaliplatin,ERCC2
Bleomycin sulfate,ERCC2
Capecitabine,ERCC2
Carboplatin,ERCC2
Cyclophosphamide,ERCC2
Docetaxel,ERCC2
Doxorubicin hydrochloride,ERCC2
4'-Epiadriamycin,ERCC2
Etoposide,ERCC2
Gemcitabine hydrochloride,ERCC2
Ifosfamide,ERCC2
Methotrexate,ERCC2
Paclitaxel,ERCC2
Gefitinib,DVL2
Erlotinib hydrochloride,DVL2
Fluorouracil,PPARD
Cisplatin,PPARD
Docetaxel,PPARD
Thalidomide,PPARD
Gefitinib,NFKB2
Fluorouracil,SLC22A16
Cyclophosphamide,SLC22A16
Fluorouracil,PROM1
Oxaliplatin,PROM1
Carboplatin,SERPINC1
Gemcitabine hydrochloride,SERPINC1
Capecitabine,MTRR
Methotrexate,MTRR
Fluorouracil,CCNK
Cyclophosphamide,CCNK
4'-Epiadriamycin,CCNK
Allopurinol,CFLAR
Fluorouracil,SMAD7
Oxaliplatin,SMAD7
Capecitabine,SMAD7
Sorafenib tosylate,MAPK13
Vincristine sulfate,MRPL47
Chlorambucil,CXCL12
Cyclophosphamide,CXCL12
Fludarabine,CXCL12
Vincristine sulfate,CXCL12
Celecoxib,CACNA1I
Capecitabine,SLC22A7
Daunorubicin hydrochloride,SLC22A7
Doxorubicin hydrochloride,SLC22A7
Gemcitabine hydrochloride,NT5C2
Mercaptopurine,NT5C2
Allopurinol,NOTCH4
Imatinib mesylate,ABCB4
Daunorubicin hydrochloride,ABCB4
Doxorubicin hydrochloride,ABCB4
Fluorouracil,SHMT1
Capecitabine,SHMT1
Mercaptopurine,SHMT1
Methotrexate,SHMT1
Cyclophosphamide,MIR618
Daunorubicin hydrochloride,MIR618
Mercaptopurine,MIR618
Methotrexate,MIR618
Vincristine sulfate,MIR618
Allopurinol,PSORS1C2
Allopurinol,SLC22A12
Fludarabine,SLC22A12
Fluorouracil,IFNG
Gemcitabine hydrochloride,SLC28A2
Methotrexate,SLC28A2
Fluorouracil,TWIST1
Celecoxib,CACNB4
Fluorouracil,DLG5
Capecitabine,DLG5
Cisplatin,GALNT18
Fluorouracil,INSR
Cyclophosphamide,INSR
4'-Epiadriamycin,INSR
Paclitaxel,FZD3
Lenalidomide,CTNNB1
Celecoxib,CTNNB1
Cyclophosphamide,CTNNB1
Thalidomide,CTNNB1
Imatinib mesylate,SLCO1B3
Sunitinib,SLCO1B3
Carboplatin,SLCO1B3
Fluorouracil,AGXT
Oxaliplatin,AGXT
Allopurinol,PSORS1C1
Carboplatin,PSORS1C1
Gemcitabine hydrochloride,PSORS1C1
Anastrozole,FLT3
Exemestane,FLT3
Carboplatin,GPX5
Cisplatin,GPX5
Gemcitabine hydrochloride,GPX5
Dasatinib,NQO2
Cyclophosphamide,NQO2
Doxorubicin hydrochloride,NQO2
Oxaliplatin,UGT1A7
Axitinib,UGT1A7
Allopurinol,UGT1A7
Methotrexate,UGT1A7
Cyclophosphamide,NCF4
Doxorubicin hydrochloride,NCF4
Paclitaxel,NCF4
Vincristine sulfate,NCF4
Fluorouracil,MIR27A
Capecitabine,MIR27A
Gemcitabine hydrochloride,IL17F
Paclitaxel,IL17F
Anastrozole,TCL1A
Exemestane,TCL1A
Methotrexate,HTR3B
Fluorouracil,TPMT
Cyclophosphamide,TPMT
Methotrexate,TPMT
Capecitabine,CCDC77
Fluorouracil,PIK3R2
Cyclophosphamide,PIK3R2
4'-Epiadriamycin,PIK3R2
Fluorouracil,CBR1
Cyclophosphamide,CBR1
Methotrexate,ADORA3
Carboplatin,MTOR
Cisplatin,MTOR
Fluorouracil,PPP2R5D
Cyclophosphamide,PPP2R5D
4'-Epiadriamycin,PPP2R5D
Fluorouracil,KCNQ1
Oxaliplatin,KCNQ1
Celecoxib,KCNQ1
4'-Epiadriamycin,KCNQ1
Methotrexate,ARID5B
Cyclophosphamide,PNPLA3
Daunorubicin hydrochloride,PNPLA3
Mercaptopurine,PNPLA3
Vincristine sulfate,PNPLA3
Anastrozole,ZNF613
Letrozole,ZNF613
Tamoxifen citrate,ZNF613
Fluorouracil,UPB1
Capecitabine,UPB1
Carboplatin,BCL2
Vincristine sulfate,BCL2
Axitinib,UGT1A8
Allopurinol,UGT1A8
Methotrexate,UGT1A8
Sirolimus,UGT1A8
Fluorouracil,GNAS
Cisplatin,GNAS
Fludarabine,ADH1A
Paclitaxel,SPATA5
Hydroxyurea,IFNL3
Methotrexate,NALCN
Oxaliplatin,APOBEC2
Capecitabine,APOBEC2
Sorafenib tosylate,SLC15A2
Sorafenib tosylate,MAPK6
Daunorubicin hydrochloride,MAN1B1
Gefitinib,RELA
Vincristine sulfate,MIR411
Carboplatin,XYLT2
Gemcitabine hydrochloride,XYLT2
Imatinib mesylate,SLC22A4
Busulfan,SLC22A4
Docetaxel,CASP7
Gemcitabine hydrochloride,CASP7
Paclitaxel,CASP7
Vinorelbine tartrate,CASP7
Cisplatin,AQP1
Celecoxib,CACNB1
Fluorouracil,FGFR4
Everolimus,FGFR4
Cyclophosphamide,FGFR4
Docetaxel,FGFR4
Methotrexate,FGFR4
Paclitaxel,FGFR4
Lapatinib ditosylate,HLA-A
Allopurinol,HLA-A
Cyclophosphamide,MIR449B
Daunorubicin hydrochloride,MIR449B
Mercaptopurine,MIR449B
Methotrexate,MIR449B
Vincristine sulfate,MIR449B
Fluorouracil,MSH3
Methotrexate,MSH3
Cisplatin,MLLT3
Mercaptopurine,GNMT
Allopurinol,SLC2A9
Pemetrexed Disodium,XRCC1
Fluorouracil,XRCC1
Oxaliplatin,XRCC1
Capecitabine,XRCC1
Carboplatin,XRCC1
Cisplatin,XRCC1
Cyclophosphamide,XRCC1
Docetaxel,XRCC1
Doxorubicin hydrochloride,XRCC1
4'-Epiadriamycin,XRCC1
Gemcitabine hydrochloride,XRCC1
Azacitidine,XRCC1
Fluorouracil,ABCC1
Oxaliplatin,ABCC1
Cyclophosphamide,ABCC1
Sunitinib,ZSCAN25
Abiraterone,DSE
Fluorouracil,FOXO1
Cyclophosphamide,FOXO1
4'-Epiadriamycin,FOXO1
Pemetrexed Disodium,RRM1
Capecitabine,RRM1
Carboplatin,RRM1
Docetaxel,RRM1
4'-Epiadriamycin,RRM1
Paclitaxel,RRM1
Daunorubicin hydrochloride,SLCO6A1
Doxorubicin hydrochloride,SLCO6A1
Allopurinol,UGT1A5
Methotrexate,UGT1A5
Docetaxel,SULT1C4
Thalidomide,SULT1C4
Cisplatin,LIG3
Cyclophosphamide,LIG3
Fluorouracil,EXO1
Capecitabine,EXO1
Oxaliplatin,TYMS
Dactinomycin,TYMS
Carboplatin,TYMS
Cyclophosphamide,TYMS
Docetaxel,TYMS
Doxorubicin hydrochloride,TYMS
4'-Epiadriamycin,TYMS
Etoposide,TYMS
Mercaptopurine,TYMS
Paclitaxel,TYMS
Vinorelbine tartrate,TYMS
Azacitidine,TYMS
Daunorubicin hydrochloride,FMO3
Doxorubicin hydrochloride,FMO3
Methotrexate,PTPRM
Methotrexate,NFATC1
Celecoxib,CACNA1A
Cyclophosphamide,GEMIN4
Daunorubicin hydrochloride,GEMIN4
Mercaptopurine,GEMIN4
Methotrexate,GEMIN4
Vincristine sulfate,GEMIN4
Lenalidomide,FGF2
Thalidomide,FGF2
Cyclophosphamide,CNOT1
Daunorubicin hydrochloride,CNOT1
Mercaptopurine,CNOT1
Methotrexate,CNOT1
Vincristine sulfate,CNOT1
Fluorouracil,ZNF215
Cyclophosphamide,ZNF215
4'-Epiadriamycin,ZNF215
Gemcitabine hydrochloride,STIM1
Cisplatin,COMT
Mercaptopurine,COMT
Erlotinib hydrochloride,ERBB3
Carboplatin,ERBB3
Docetaxel,ERBB3
Abiraterone,SRD5A2
Oxaliplatin,ACYP2
Cisplatin,ACYP2
Fluorouracil,PDGFRB
Etoposide,DYNC2H1
Daunorubicin hydrochloride,SLC10A2
Docetaxel,SLC10A2
Doxorubicin hydrochloride,SLC10A2
Thalidomide,SLC10A2
Oxaliplatin,BTG4
Cisplatin,RAD52
Cyclophosphamide,RAD52
Methotrexate,MROH2A
Cisplatin,ADH1C
Cyclophosphamide,ADH1C
Cyclophosphamide,EPAS1
Docetaxel,EPAS1
4'-Epiadriamycin,EPAS1
Cisplatin,ABCB5
Celecoxib,ALOX12
Fluorouracil,MEGF11
Cisplatin,EPHX1
Cyclophosphamide,EPHX1
Docetaxel,EPHX1
Gefitinib,IKBKB
Gemcitabine hydrochloride,MS4A2
Fluorouracil,NR1I3
Sunitinib,NR1I3
Docetaxel,NR1I3
Topotecan hydrochloride,DDO
Fluorouracil,PPARG
Celecoxib,PPARG
Imatinib mesylate,ABI1
Dasatinib,ABI1
Nilotinib,ABI1
Imatinib mesylate,VEGFA
Pemetrexed Disodium,VEGFA
Fluorouracil,VEGFA
Oxaliplatin,VEGFA
Sunitinib,VEGFA
Capecitabine,VEGFA
Carboplatin,VEGFA
Celecoxib,VEGFA
Cisplatin,VEGFA
Cyclophosphamide,VEGFA
Docetaxel,VEGFA
4'-Epiadriamycin,VEGFA
Thalidomide,VEGFA
Celecoxib,PDK1
Fluorouracil,SELE
Oxaliplatin,SELE
Capecitabine,SELE
Carboplatin,SERPINA5
Gemcitabine hydrochloride,SERPINA5
Imatinib mesylate,GSTP1
Fluorouracil,GSTP1
Bleomycin sulfate,GSTP1
Capecitabine,GSTP1
Daunorubicin hydrochloride,GSTP1
4'-Epiadriamycin,GSTP1
Gemcitabine hydrochloride,GSTP1
Mercaptopurine,GSTP1
Methotrexate,GSTP1
Paclitaxel,GSTP1
Temozolomide,GSTP1
Thiotepa,GSTP1
Fluorouracil,SOD2
Oxaliplatin,SOD2
Cisplatin,SOD2
Cyclophosphamide,SOD2
Daunorubicin hydrochloride,SOD2
Docetaxel,SOD2
Doxorubicin hydrochloride,SOD2
4'-Epiadriamycin,SOD2
Methotrexate,SOD2
Paclitaxel,SOD2
Capecitabine,NCOA7
Cyclophosphamide,DROSHA
Daunorubicin hydrochloride,DROSHA
Mercaptopurine,DROSHA
Methotrexate,DROSHA
Vincristine sulfate,DROSHA
Mercaptopurine,CYP2A7
Daunorubicin hydrochloride,SLCO4C1
Doxorubicin hydrochloride,SLCO4C1
Gemcitabine hydrochloride,SH2D5
Fluorouracil,TK1
Capecitabine,TK1
Gemcitabine hydrochloride,BAZ2B
Thalidomide,XRCC5
Celecoxib,CACNA1C
Fluorouracil,NOS3
Oxaliplatin,NOS3
Cyclophosphamide,NOS3
Daunorubicin hydrochloride,NOS3
4'-Epiadriamycin,NOS3
Methotrexate,NOS3
Vincristine sulfate,NOS3
Sorafenib tosylate,NOS3
Cyclophosphamide,UGT2B7
Fluorouracil,CBR3
Cyclophosphamide,CBR3
4'-Epiadriamycin,CBR3
Paclitaxel,CBR3
Fluorouracil,HLA-G
Capecitabine,HLA-G
Methotrexate,HLA-G
Celecoxib,KCNQ3
Axitinib,OR2B11
Anastrozole,TNFRSF11A
Letrozole,TNFRSF11A
Fluorouracil,GCKR
Oxaliplatin,GCKR
4'-Epiadriamycin,GCKR
Methotrexate,SLC29A1
Paclitaxel,SLC29A1
Carboplatin,RNF8
Docetaxel,RNF8
Gefitinib,DPT
Hydroxyurea,IFNL4
Imatinib mesylate,ULK3
Methotrexate,CDK9
Methotrexate,PTPN22
Fluorouracil,GNL3
Cyclophosphamide,GNL3
4'-Epiadriamycin,GNL3
Oxaliplatin,DLEU7
Gefitinib,NFKBIA
Cisplatin,ESR1
Carboplatin,SOX10
Docetaxel,SOX10
Paclitaxel,SOX10
Carboplatin,RAF1
Cisplatin,RAF1
Docetaxel,RAF1
Gemcitabine hydrochloride,RAF1
Paclitaxel,RAF1
Carboplatin,MAD1L1
Paclitaxel,MAD1L1
Daunorubicin hydrochloride,SLC15A1
Doxorubicin hydrochloride,SLC15A1
Gefitinib,ARFGEF3
Fluorouracil,PSMB3P1
Cisplatin,RARS1
Anastrozole,KMT2C
Anastrozole,ERBB2
Carmustine,MGMT
Celecoxib,PIK3CA
Chlorambucil,FANCC
Cyclophosphamide,CYP19A1
Fluorouracil,DKK1
Fluorouracil,ALCAM
Fluorouracil,ENOSF1
Fluorouracil,SMAD4
Fluorouracil,HSPA5
Fluorouracil,AURKA
Hydroxyurea,RRM2B
Letrozole,CDKN2A
Letrozole,CTNNB1
Letrozole,KMT2C
Mitoxantrone,TOP2B
Imatinib mesylate,RCSD1
Imatinib mesylate,NF2
Imatinib mesylate,XIAP
Imatinib mesylate,NF1
Imatinib mesylate,PDGFB
Imatinib mesylate,IKZF1
Imatinib mesylate,KRAS
Vorinostat,GNA11
Vorinostat,BAP1
Temozolomide,SLFN11
Temozolomide,MYC
Temozolomide,ATR
Temozolomide,ATRX
Temozolomide,ATM
Temozolomide,BRCA2
Thalidomide,RBX1
Thalidomide,CUL4A
Thalidomide,DDB1
Mitomycin,FANCC
Mitomycin,TP53
Mitomycin,PALB2
Vincristine sulfate,ATRX
Azacitidine,IL11
Azacitidine,PLAU
Azacitidine,LIF
Azacitidine,DNMT3A
Vinblastine sulfate,NF1
Cladribine,IL2RA
Cladribine,BCL2L2
Cladribine,CDKN1A
Cladribine,TGFB1
Cladribine,ADA
Daunorubicin hydrochloride,DNMT3A
Daunorubicin hydrochloride,IKZF1
Daunorubicin hydrochloride,NPM1
Daunorubicin hydrochloride,WT1
Doxorubicin hydrochloride,CYP19A1
Doxorubicin hydrochloride,ZEB1
Doxorubicin hydrochloride,LRP1B
Paclitaxel,AURKA
Paclitaxel,SYK
Paclitaxel,PGP
Paclitaxel,TLE3
Paclitaxel,ABCC3
Paclitaxel,PDCD4
Paclitaxel,STMN1
Paclitaxel,NRG1
Etoposide,PGP
4'-Epiadriamycin,TOP2B
4'-Epiadriamycin,CYP19A1
4'-Epiadriamycin,FOXP3
Mitoxantrone,PAX8
Mitoxantrone,PPARD
Mitoxantrone,L3MBTL1
Mitoxantrone,IDH1
Mitoxantrone,KDM4E
Mitoxantrone,POLB
Mitoxantrone,APEX1
Mitoxantrone,BAZ2B
Mitoxantrone,VDR
Mitoxantrone,NPSR1
Mitoxantrone,KAT2A
Mitoxantrone,MAPT
Mitoxantrone,AR
Exemestane,KMT2C
Gemcitabine hydrochloride,POLD1
Gemcitabine hydrochloride,POLE
Gemcitabine hydrochloride,POLA1
Gemcitabine hydrochloride,CIP2A
Gemcitabine hydrochloride,NRG1
Gemcitabine hydrochloride,FGFR3
Gemcitabine hydrochloride,WEE1
Gemcitabine hydrochloride,EGFR
Gemcitabine hydrochloride,BRCA2
Gemcitabine hydrochloride,FANCC
Gemcitabine hydrochloride,IGF2
Capecitabine,BRAF
Zoledronic acid,CYP2C8
Zoledronic acid,PPCDC
Zoledronic acid,PPARG
Fulvestrant,CDK6
Fulvestrant,CCNE1
Fulvestrant,FGFR2
7-Ethyl-10-hydroxycamptothecin,UGT1A9
7-Ethyl-10-hydroxycamptothecin,HDAC3
7-Ethyl-10-hydroxycamptothecin,ABCC2
7-Ethyl-10-hydroxycamptothecin,CES2
7-Ethyl-10-hydroxycamptothecin,HDAC1
7-Ethyl-10-hydroxycamptothecin,ABCB1
7-Ethyl-10-hydroxycamptothecin,SLCO1B1
7-Ethyl-10-hydroxycamptothecin,HDAC8
